obsdate,humidity,pressure,temperaturecel,temperaturefar,windspeed
2013-1-1 00:00:00,84.5,1015.666667,10,50,0
2013-1-2 00:00:00,92,1017.8,7.4,45.32,2.98
2013-1-3 00:00:00,87,1018.666667,7.166666667,44.9,4.633333333
2013-1-4 00:00:00,71.33333333,1017.166667,8.666666667,47.6,1.233333333
2013-1-5 00:00:00,86.83333333,1016.5,6,42.8,3.7
2013-1-6 00:00:00,82.8,1018,7,44.6,1.48
2013-1-7 00:00:00,78.6,1020,7,44.6,6.3
2013-1-8 00:00:00,63.71428571,1018.714286,8.857142857,47.94285714,7.142857143
2013-1-9 00:00:00,51.25,1017,14,57.2,12.5
2013-1-10 00:00:00,62,1015.666667,11,51.8,7.4
2013-1-11 00:00:00,51.28571429,1016.142857,15.71428571,60.28571428,10.57142857
2013-1-12 00:00:00,74,1015.571429,14,57.2,13.22857143
2013-1-13 00:00:00,75.16666667,1013.333333,15.83333333,60.49999999,4.633333333
2013-1-14 00:00:00,88.16666667,1015.166667,12.83333333,55.09999999,0.616666667
2013-1-15 00:00:00,71.85714286,1015.857143,14.71428571,58.48571428,0.528571429
2013-1-16 00:00:00,86.66666667,1016.666667,13.83333333,56.89999999,0
2013-1-17 00:00:00,80.83333333,1015.833333,16.5,61.7,5.25
2013-1-18 00:00:00,92.16666667,1014.5,13.83333333,56.89999999,8.95
2013-1-19 00:00:00,76.66666667,1021.666667,12.5,54.5,5.883333333
2013-1-20 00:00:00,75.28571429,1020.285714,11.28571429,52.31428572,8.471428571
2013-1-21 00:00:00,77,1021,11.2,52.16,2.22
2013-1-22 00:00:00,79.66666667,1021.8,9.5,49.1,3.083333333
2013-1-23 00:00:00,60.16666667,1020.5,14,57.2,4.016666667
2013-1-24 00:00:00,60.66666667,1020.5,13.83333333,56.89999999,6.166666667
2013-1-25 00:00:00,67,1020.75,12.25,54.05,5.55
2013-1-26 00:00:00,64.16666667,1019.666667,12.66666667,54.80000001,6.8
2013-1-27 00:00:00,65.57142857,1018.142857,12.85714286,55.14285715,5.557142857
2013-1-28 00:00:00,56,1017.833333,14.83333333,58.69999999,3.7
2013-1-29 00:00:00,65.5,1016.625,14.125,57.425,3.2375
2013-1-30 00:00:00,70.42857143,1017.857143,14.71428571,58.48571428,1.057142857
2013-1-31 00:00:00,65.6,1018.4,16.2,61.16,2.96
2013-2-1 00:00:00,73,1016,16,60.8,2.22
2013-2-2 00:00:00,77.57142857,1017.142857,16.28571429,61.31428572,1.328571429
2013-2-3 00:00:00,65.57142857,1015.285714,18,64.4,1.857142857
2013-2-4 00:00:00,74.28571429,1014.571429,17.42857143,63.37142857,11.11428571
2013-2-5 00:00:00,92.375,1016.375,16.625,61.925,9.725
2013-2-6 00:00:00,71.33333333,1018.666667,16.66666667,62.00000001,8.633333333
2013-2-7 00:00:00,59.4,1018.6,15.6,60.08,10.74
2013-2-8 00:00:00,70.42857143,1017.142857,14,57.2,9.257142857
2013-2-9 00:00:00,61.28571429,1016.857143,15.42857143,59.77142857,9.257142857
2013-2-10 00:00:00,71.5,1017.125,15.25,59.45,3.475
2013-2-11 00:00:00,70.5,1016.5,15.875,60.575,5.325
2013-2-12 00:00:00,70.33333333,1017.5,15.33333333,59.59999999,7.416666667
2013-2-13 00:00:00,70.14285714,1016,16.28571429,61.31428572,6.085714286
2013-2-14 00:00:00,63.83333333,1014.166667,17.33333333,63.19999999,4.333333333
2013-2-15 00:00:00,65.33333333,1011.666667,19.16666667,66.50000001,10.18333333
2013-2-16 00:00:00,92.71428571,1008,14.42857143,57.97142857,8.485714286
2013-2-17 00:00:00,90,1012.666667,13.66666667,56.60000001,0
2013-2-18 00:00:00,78.4,1016.2,15.6,60.08,12.22
2013-2-19 00:00:00,82,1015.714286,15.85714286,60.54285715,5.814285714
2013-2-20 00:00:00,74.71428571,1017,17.71428571,63.88571428,5.814285714
2013-2-21 00:00:00,67.28571429,1015.428571,20,68,6.614285714
2013-2-22 00:00:00,65.625,1016,20.5,68.9,10.875
2013-2-23 00:00:00,74.85714286,1017,17.42857143,63.37142857,9.257142857
2013-2-24 00:00:00,78.85714286,1018.857143,16.85714286,62.34285715,7.4
2013-2-25 00:00:00,72.875,1018.25,16.875,62.375,4.6375
2013-2-26 00:00:00,70,1015.142857,17.85714286,64.14285715,17.5875
2013-2-27 00:00:00,57.2,1015.2,20.8,69.44,6.66
2013-2-28 00:00:00,52.85714286,1017.428571,19.42857143,66.97142857,12.95714286
2013-3-1 00:00:00,49.33333333,1016.333333,17.33333333,63.19999999,24.06666667
2013-3-2 00:00:00,54,1016.25,19,66.2,15.725
2013-3-3 00:00:00,62.83333333,1016.166667,19.33333333,66.79999999,8.633333333
2013-3-4 00:00:00,71,1015.8,17.6,63.68,5.56
2013-3-5 00:00:00,61.875,1016.375,20.875,69.575,4.1625
2013-3-6 00:00:00,65.28571429,1015.714286,20.85714286,69.54285715,6.871428571
2013-3-7 00:00:00,57.14285714,1015.285714,23.42857143,74.17142857,8.728571429
2013-3-8 00:00:00,44.83333333,1014.833333,24.16666667,75.50000001,7.1
2013-3-9 00:00:00,49.71428571,1009.285714,25.42857143,77.77142857,5.285714286
2013-3-10 00:00:00,57.57142857,1008,23.14285714,73.65714285,4.228571429
2013-3-11 00:00:00,66.33333333,1011.166667,24,75.2,0.933333333
2013-3-12 00:00:00,62.5,1011.5,23.5,74.3,4.933333333
2013-3-13 00:00:00,70.5,1009,21.5,70.7,5.55
2013-3-14 00:00:00,61.16666667,1013.166667,22.33333333,72.19999999,12.03333333
2013-3-15 00:00:00,45.83333333,1016.166667,24.16666667,75.50000001,7.716666667
2013-3-16 00:00:00,67.66666667,1016.166667,20.33333333,68.59999999,3.7
2013-3-17 00:00:00,58.66666667,1015,22.66666667,72.80000001,8.95
2013-3-18 00:00:00,58.14285714,1009.428571,23.42857143,74.17142857,17.45714286
2013-3-19 00:00:00,73.66666667,1011,22.5,72.5,10.48333333
2013-3-20 00:00:00,36.33333333,1009.5,29.16666667,84.50000001,6.8
2013-3-21 00:00:00,58.5,1008.333333,23.83333333,74.89999999,10.5
2013-3-22 00:00:00,50.25,1006.375,25.25,77.45,9.7125
2013-3-23 00:00:00,50.125,1007.625,27.375,81.275,9.95
2013-3-24 00:00:00,48.75,1010.25,27,80.6,10.8875
2013-3-25 00:00:00,45.5,1010.625,23.5,74.3,15.9625
2013-3-26 00:00:00,44.57142857,1008.857143,24.14285714,75.45714285,12.95714286
2013-3-27 00:00:00,62,1009,21,69.8,1.85
2013-3-28 00:00:00,62.71428571,1009.571429,22.42857143,72.37142857,7.414285714
2013-3-29 00:00:00,70.375,1009.75,21.25,70.25,5.55
2013-3-30 00:00:00,54.75,1008.625,23.5,74.3,11.1125
2013-3-31 00:00:00,58,1008.6,23.2,73.76,6.66
2013-4-1 00:00:00,45.5,1008.5,25.375,77.675,4.4
2013-4-2 00:00:00,51,1009.5,25.16666667,77.30000001,8.65
2013-4-3 00:00:00,45.6,1009,26.2,79.16,8.14
2013-4-4 00:00:00,41.8,1007.8,24.6,76.28,11.12
2013-4-5 00:00:00,31,1007,25.6,78.08,15.56
2013-4-6 00:00:00,29.85714286,1006.142857,25.85714286,78.54285715,11.9
2013-4-7 00:00:00,23.28571429,1005,29.14285714,84.45714285,10.31428571
2013-4-8 00:00:00,33.85714286,1006,28.71428571,83.68571428,5.3
2013-4-9 00:00:00,30.5,1005.333333,30.16666667,86.30000001,8.65
2013-4-10 00:00:00,28,1006.714286,30,86,6.1
2013-4-11 00:00:00,24.2,1006.4,30,86,7.78
2013-4-12 00:00:00,32.57142857,1007.571429,28.85714286,83.94285715,6.342857143
2013-4-13 00:00:00,29.2,1008.4,30.2,86.36,10
2013-4-14 00:00:00,39.375,1007,28.25,82.85,6.4875
2013-4-15 00:00:00,41.375,1003.875,28.25,82.85,6.25
2013-4-16 00:00:00,24.625,1000,32.125,89.825,10.425
2013-4-17 00:00:00,24.2,1002.2,29.2,84.56,6.66
2013-4-18 00:00:00,30.28571429,1002.857143,30.28571429,86.51428572,4.757142857
2013-4-19 00:00:00,31.28571429,1002.571429,28.28571429,82.91428572,3.971428571
2013-4-20 00:00:00,29,1003.375,30.625,87.125,7.6375
2013-4-21 00:00:00,38.66666667,1006.833333,27.66666667,81.80000001,13.88333333
2013-4-22 00:00:00,45.375,1010,27.375,81.275,7.65
2013-4-23 00:00:00,44.125,1009.875,28.625,83.525,4.625
2013-4-24 00:00:00,41.71428571,1008.571429,30.28571429,86.51428572,2.114285714
2013-4-25 00:00:00,38.28571429,1007.714286,31.14285714,88.05714285,3.7
2013-4-26 00:00:00,45.875,1008.375,29.875,85.775,6.7125
2013-4-27 00:00:00,31.42857143,1007,31.14285714,88.05714285,13.48571429
2013-4-28 00:00:00,28,1005.428571,30.57142857,87.02857143,12.97142857
2013-4-29 00:00:00,26.375,1004.875,32.125,89.825,7.875
2013-4-30 00:00:00,32,1004.857143,31.14285714,88.05714285,7.928571429
2013-5-1 00:00:00,15.85714286,1002.833333,31.85714286,89.34285715,12.68571429
